GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AAA001,AAK001,AAN001,AAO001,AAO002,AAO003,AAO004,AAP001,AAP002,AAQ001,AAQ002,AAQ003,AAR001,AAB001,AAB002,AAB003,AAB004,AAB005,AAB006,AAB007,AAB008,AAB009,AAB010,AAB011,AAC001,AAC002,AAC003,AAC004,AAC005,AAC006,AAC007,AAC008,AAD001,AAD002,AAE001,AAE002,AAE003,AAE004,AAF001,AAF002,AAG001,AAG002,AAH001,AAH002,AAH003,AAH004,AAI001,AAJ001,AAL001,AAL002,AAL003,AAL004,AAL005,AAL006,AAL007,AAL008,AAL009,AAL010,AAM001,AAM002
"G090","1790","Connecticut","090",,"Connecticut",237655,7170,0,54289,60739,51196,66012,115028,117208,2771,2648,232236,40876,1082,3268,4670,5706,5790,5663,4711,3748,2654,1688,1896,223437,6425,1589,258,512,4,5,6,1563,39313,1557,6,38900,413,9769,222372,6.3,5.7,38.0,0,952.0,10.0,2648,1.7,980,505,66,12,0,0,0,0,0,0,232236,5419
"G100","1790","Delaware","100",,"Delaware",59096,0,0,12143,11783,10737,11647,23926,22384,3899,8887,46310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46310,12786
"G130","1790","Georgia","130",,"Georgia",82548,0,0,14044,13103,14028,11711,27147,25739,398,29264,52886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52886,29662
"G240","1790","Maryland","240",,"Maryland",319728,13503,0,51339,55915,42504,58891,107254,101395,8043,103036,208649,33294,1687,2696,3890,4619,4588,4204,3640,2827,1952,1326,1865,175265,13562,5008,209,1460,12310,626,209,12226,21068,12142,84,19870,1198,71168,109577,5.9,5.5,365.0,3.0,597.0,36.0,103036,7.5,2841,3617,2807,1796,713,96,16,3,1,336,208649,111079
"G250","1790","Massachusetts","250",,"Massachusetts",475199,51202,0,112012,119774,106610,130898,231786,237508,5905,0,373187,82788,2502,6869,9968,11200,11447,10884,9376,7502,5509,3575,3956,441213,17529,5127,707,815,489,93,168,,,,,,,,,,,,,,,,,,,,,,,,,,,373187,5369
"G330","1790","New Hampshire","330",,"New Hampshire",141899,4720,0,34855,36074,33709,36474,70929,70183,630,157,141112,24065,814,1502,2669,3282,3392,3109,2855,2301,1732,1131,1278,132726,6648,1346,153,142,0,0,97,123,23942,123,0,23859,83,760,140428,6.2,5.9,5.0,0,991.0,3.0,157,1.3,97,24,2,0,0,0,0,0,0,0,141112,787
"G340","1790","New Jersey","340",,"New Jersey",184139,0,0,41416,45251,41335,41952,86667,83287,2762,11423,169954,,,,,,,,,,,,,98620,13156,12099,21581,3565,15678,0,5255,,,,,,,,,,,,,,,,,,,,,,,,,,,169954,14185
"G360","1790","New York","360",,"New York",340241,39213,33131,78258,83815,76832,75461,162073,152293,4682,21193,314366,54878,1123,3909,6560,7945,8197,7466,6330,4918,3555,2233,2642,245901,10034,2525,50600,2424,1103,385,1394,7796,47082,7787,9,46398,684,47495,265430,6.1,5.7,142.0,0,845.0,12.0,21193,2.7,3088,2867,1165,181,1,0,0,0,0,494,314366,25875
"G370","1790","North Carolina","370",,"North Carolina",395005,0,0,77653,70172,72289,69067,147825,141356,5041,100783,289181,48701,3519,3754,5483,6482,6491,6083,5162,4326,3134,2038,2229,220566,29829,6206,405,751,7422,1,154,14973,33728,14945,28,33076,652,87121,178077,5.8,5.4,307.0,1.0,679.0,13.0,100783,6.7,4040,4959,3375,1788,701,90,11,2,0,7,289181,105824
"G420","1790","Pennsylvania","420",,"Pennsylvania",433611,44096,28522,106928,110559,103746,102140,217487,205886,6531,3707,423373,73874,2546,5807,8592,9971,10191,9745,8365,6736,4857,3207,3857,249656,49567,8614,2623,2341,110357,21,194,1858,72016,1851,7,71471,545,12942,408690,7.0,5.7,25.0,0,967.0,7.0,3707,2.0,1031,667,145,12,1,0,0,0,0,2,423373,10238
"G440","1790","Rhode Island","440",,"Rhode Island",69112,13096,0,15745,16056,14242,18627,31801,32869,3484,958,64670,11296,231,865,1387,1523,1472,1551,1221,1028,810,510,698,62079,1976,459,19,88,33,9,7,461,10835,461,0,10393,442,2993,61590,6.5,5.9,41.0,0,920.0,39.0,958,2.1,255,160,46,0,0,0,0,0,0,0,64670,4442
"G450","1790","South Carolina","450",,"South Carolina",249073,16359,0,37722,35576,35440,31440,73298,66880,1801,107094,140178,25872,1344,2249,3163,3741,3464,3307,2731,2146,1589,1010,1128,115480,16447,3576,219,1882,2343,85,146,8859,17013,8798,61,16754,259,48097,92310,5.5,5.5,340.0,2.0,648.0,10.0,107094,12.1,1930,2603,1853,1201,859,285,96,21,6,5,140178,108895
"G465","1790","Southwest Territory","465",,"Southwest Territory",35691,0,0,8762,7786,8793,6572,16548,15365,361,3417,31913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31913,3778
"G500","1790","Vermont","500",,"Vermont",85341,0,0,22305,22405,21327,19035,44710,40362,269,0,85072,14992,505,1060,1734,2146,2139,2040,1781,1400,895,638,654,81149,2562,597,428,153,35,0,148,,,,,,,,,,,,,,,,,,,,,,,,,,,85072,269
"G510","1790","Virginia","510",,"Virginia",821287,12296,0,133192,116090,119809,124159,259282,243968,12980,305067,442117,,,,,,,,,,,,,108859,9114,2591,247,773,6277,0,251,,,,,,,,,,,,,,,,,,,,,,,,,,,442117,305493
